*Read me: each dataset is created using the quadratic polynom: 3*x*x+-15*x+-50, where x is between 0 and 19. Nr of datasets: 40. Increment:2
-50,-62,-68,-68,-62,-50,-32,-8,22,58,100,148,202,262,328,400,478,562,652,748
-48,-56,-54,-42,-20,12,54,106,168,240,322,414,516,628,750,882,1024,1176,1338,1510
-46,-50,-40,-16,22,74,140,220,314,422,544,680,830,994,1172,1364,1570,1790,2024,2272
-44,-44,-26,10,64,136,226,334,460,604,766,946,1144,1360,1594,1846,2116,2404,2710,3034
-42,-38,-12,36,106,198,312,448,606,786,988,1212,1458,1726,2016,2328,2662,3018,3396,3796
-40,-32,2,62,148,260,398,562,752,968,1210,1478,1772,2092,2438,2810,3208,3632,4082,4558
-38,-26,16,88,190,322,484,676,898,1150,1432,1744,2086,2458,2860,3292,3754,4246,4768,5320
-36,-20,30,114,232,384,570,790,1044,1332,1654,2010,2400,2824,3282,3774,4300,4860,5454,6082
-34,-14,44,140,274,446,656,904,1190,1514,1876,2276,2714,3190,3704,4256,4846,5474,6140,6844
-32,-8,58,166,316,508,742,1018,1336,1696,2098,2542,3028,3556,4126,4738,5392,6088,6826,7606
-30,-2,72,192,358,570,828,1132,1482,1878,2320,2808,3342,3922,4548,5220,5938,6702,7512,8368
-28,4,86,218,400,632,914,1246,1628,2060,2542,3074,3656,4288,4970,5702,6484,7316,8198,9130
-26,10,100,244,442,694,1000,1360,1774,2242,2764,3340,3970,4654,5392,6184,7030,7930,8884,9892
-24,16,114,270,484,756,1086,1474,1920,2424,2986,3606,4284,5020,5814,6666,7576,8544,9570,10654
-22,22,128,296,526,818,1172,1588,2066,2606,3208,3872,4598,5386,6236,7148,8122,9158,10256,11416
-20,28,142,322,568,880,1258,1702,2212,2788,3430,4138,4912,5752,6658,7630,8668,9772,10942,12178
-18,34,156,348,610,942,1344,1816,2358,2970,3652,4404,5226,6118,7080,8112,9214,10386,11628,12940
-16,40,170,374,652,1004,1430,1930,2504,3152,3874,4670,5540,6484,7502,8594,9760,11000,12314,13702
-14,46,184,400,694,1066,1516,2044,2650,3334,4096,4936,5854,6850,7924,9076,10306,11614,13000,14464
-12,52,198,426,736,1128,1602,2158,2796,3516,4318,5202,6168,7216,8346,9558,10852,12228,13686,15226
-10,58,212,452,778,1190,1688,2272,2942,3698,4540,5468,6482,7582,8768,10040,11398,12842,14372,15988
-8,64,226,478,820,1252,1774,2386,3088,3880,4762,5734,6796,7948,9190,10522,11944,13456,15058,16750
-6,70,240,504,862,1314,1860,2500,3234,4062,4984,6000,7110,8314,9612,11004,12490,14070,15744,17512
-4,76,254,530,904,1376,1946,2614,3380,4244,5206,6266,7424,8680,10034,11486,13036,14684,16430,18274
-2,82,268,556,946,1438,2032,2728,3526,4426,5428,6532,7738,9046,10456,11968,13582,15298,17116,19036
0,88,282,582,988,1500,2118,2842,3672,4608,5650,6798,8052,9412,10878,12450,14128,15912,17802,19798
2,94,296,608,1030,1562,2204,2956,3818,4790,5872,7064,8366,9778,11300,12932,14674,16526,18488,20560
4,100,310,634,1072,1624,2290,3070,3964,4972,6094,7330,8680,10144,11722,13414,15220,17140,19174,21322
6,106,324,660,1114,1686,2376,3184,4110,5154,6316,7596,8994,10510,12144,13896,15766,17754,19860,22084
8,112,338,686,1156,1748,2462,3298,4256,5336,6538,7862,9308,10876,12566,14378,16312,18368,20546,22846
10,118,352,712,1198,1810,2548,3412,4402,5518,6760,8128,9622,11242,12988,14860,16858,18982,21232,23608
12,124,366,738,1240,1872,2634,3526,4548,5700,6982,8394,9936,11608,13410,15342,17404,19596,21918,24370
14,130,380,764,1282,1934,2720,3640,4694,5882,7204,8660,10250,11974,13832,15824,17950,20210,22604,25132
16,136,394,790,1324,1996,2806,3754,4840,6064,7426,8926,10564,12340,14254,16306,18496,20824,23290,25894
18,142,408,816,1366,2058,2892,3868,4986,6246,7648,9192,10878,12706,14676,16788,19042,21438,23976,26656
20,148,422,842,1408,2120,2978,3982,5132,6428,7870,9458,11192,13072,15098,17270,19588,22052,24662,27418
22,154,436,868,1450,2182,3064,4096,5278,6610,8092,9724,11506,13438,15520,17752,20134,22666,25348,28180
24,160,450,894,1492,2244,3150,4210,5424,6792,8314,9990,11820,13804,15942,18234,20680,23280,26034,28942
26,166,464,920,1534,2306,3236,4324,5570,6974,8536,10256,12134,14170,16364,18716,21226,23894,26720,29704
28,172,478,946,1576,2368,3322,4438,5716,7156,8758,10522,12448,14536,16786,19198,21772,24508,27406,30466
