*Read me: each dataset is created using the quadratic polynom: 2*x*x+7*x+22, where x is between 0 and 29. Nr of datasets: 20. Increment:-2
22,31,44,61,82,107,136,169,206,247,292,341,394,451,512,577,646,719,796,877,962,1051,1144,1241,1342,1447,1556,1669,1786,1907
20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165
18,19,16,9,-2,-17,-36,-59,-86,-117,-152,-191,-234,-281,-332,-387,-446,-509,-576,-647,-722,-801,-884,-971,-1062,-1157,-1256,-1359,-1466,-1577
16,13,2,-17,-44,-79,-122,-173,-232,-299,-374,-457,-548,-647,-754,-869,-992,-1123,-1262,-1409,-1564,-1727,-1898,-2077,-2264,-2459,-2662,-2873,-3092,-3319
14,7,-12,-43,-86,-141,-208,-287,-378,-481,-596,-723,-862,-1013,-1176,-1351,-1538,-1737,-1948,-2171,-2406,-2653,-2912,-3183,-3466,-3761,-4068,-4387,-4718,-5061
12,1,-26,-69,-128,-203,-294,-401,-524,-663,-818,-989,-1176,-1379,-1598,-1833,-2084,-2351,-2634,-2933,-3248,-3579,-3926,-4289,-4668,-5063,-5474,-5901,-6344,-6803
10,-5,-40,-95,-170,-265,-380,-515,-670,-845,-1040,-1255,-1490,-1745,-2020,-2315,-2630,-2965,-3320,-3695,-4090,-4505,-4940,-5395,-5870,-6365,-6880,-7415,-7970,-8545
8,-11,-54,-121,-212,-327,-466,-629,-816,-1027,-1262,-1521,-1804,-2111,-2442,-2797,-3176,-3579,-4006,-4457,-4932,-5431,-5954,-6501,-7072,-7667,-8286,-8929,-9596,-10287
6,-17,-68,-147,-254,-389,-552,-743,-962,-1209,-1484,-1787,-2118,-2477,-2864,-3279,-3722,-4193,-4692,-5219,-5774,-6357,-6968,-7607,-8274,-8969,-9692,-10443,-11222,-12029
4,-23,-82,-173,-296,-451,-638,-857,-1108,-1391,-1706,-2053,-2432,-2843,-3286,-3761,-4268,-4807,-5378,-5981,-6616,-7283,-7982,-8713,-9476,-10271,-11098,-11957,-12848,-13771
2,-29,-96,-199,-338,-513,-724,-971,-1254,-1573,-1928,-2319,-2746,-3209,-3708,-4243,-4814,-5421,-6064,-6743,-7458,-8209,-8996,-9819,-10678,-11573,-12504,-13471,-14474,-15513
0,-35,-110,-225,-380,-575,-810,-1085,-1400,-1755,-2150,-2585,-3060,-3575,-4130,-4725,-5360,-6035,-6750,-7505,-8300,-9135,-10010,-10925,-11880,-12875,-13910,-14985,-16100,-17255
-2,-41,-124,-251,-422,-637,-896,-1199,-1546,-1937,-2372,-2851,-3374,-3941,-4552,-5207,-5906,-6649,-7436,-8267,-9142,-10061,-11024,-12031,-13082,-14177,-15316,-16499,-17726,-18997
-4,-47,-138,-277,-464,-699,-982,-1313,-1692,-2119,-2594,-3117,-3688,-4307,-4974,-5689,-6452,-7263,-8122,-9029,-9984,-10987,-12038,-13137,-14284,-15479,-16722,-18013,-19352,-20739
-6,-53,-152,-303,-506,-761,-1068,-1427,-1838,-2301,-2816,-3383,-4002,-4673,-5396,-6171,-6998,-7877,-8808,-9791,-10826,-11913,-13052,-14243,-15486,-16781,-18128,-19527,-20978,-22481
-8,-59,-166,-329,-548,-823,-1154,-1541,-1984,-2483,-3038,-3649,-4316,-5039,-5818,-6653,-7544,-8491,-9494,-10553,-11668,-12839,-14066,-15349,-16688,-18083,-19534,-21041,-22604,-24223
-10,-65,-180,-355,-590,-885,-1240,-1655,-2130,-2665,-3260,-3915,-4630,-5405,-6240,-7135,-8090,-9105,-10180,-11315,-12510,-13765,-15080,-16455,-17890,-19385,-20940,-22555,-24230,-25965
-12,-71,-194,-381,-632,-947,-1326,-1769,-2276,-2847,-3482,-4181,-4944,-5771,-6662,-7617,-8636,-9719,-10866,-12077,-13352,-14691,-16094,-17561,-19092,-20687,-22346,-24069,-25856,-27707
-14,-77,-208,-407,-674,-1009,-1412,-1883,-2422,-3029,-3704,-4447,-5258,-6137,-7084,-8099,-9182,-10333,-11552,-12839,-14194,-15617,-17108,-18667,-20294,-21989,-23752,-25583,-27482,-29449
-16,-83,-222,-433,-716,-1071,-1498,-1997,-2568,-3211,-3926,-4713,-5572,-6503,-7506,-8581,-9728,-10947,-12238,-13601,-15036,-16543,-18122,-19773,-21496,-23291,-25158,-27097,-29108,-31191
