*Read me: each dataset is created using the quadratic polynom: 7*x*x+8*x+2, where x is between 0 and 19. Nr of datasets: 25. Increment:9
2,17,46,89,146,217,302,401,514,641,782,937,1106,1289,1486,1697,1922,2161,2414,2681
11,44,109,206,335,496,689,914,1171,1460,1781,2134,2519,2936,3385,3866,4379,4924,5501,6110
20,71,172,323,524,775,1076,1427,1828,2279,2780,3331,3932,4583,5284,6035,6836,7687,8588,9539
29,98,235,440,713,1054,1463,1940,2485,3098,3779,4528,5345,6230,7183,8204,9293,10450,11675,12968
38,125,298,557,902,1333,1850,2453,3142,3917,4778,5725,6758,7877,9082,10373,11750,13213,14762,16397
47,152,361,674,1091,1612,2237,2966,3799,4736,5777,6922,8171,9524,10981,12542,14207,15976,17849,19826
56,179,424,791,1280,1891,2624,3479,4456,5555,6776,8119,9584,11171,12880,14711,16664,18739,20936,23255
65,206,487,908,1469,2170,3011,3992,5113,6374,7775,9316,10997,12818,14779,16880,19121,21502,24023,26684
74,233,550,1025,1658,2449,3398,4505,5770,7193,8774,10513,12410,14465,16678,19049,21578,24265,27110,30113
83,260,613,1142,1847,2728,3785,5018,6427,8012,9773,11710,13823,16112,18577,21218,24035,27028,30197,33542
92,287,676,1259,2036,3007,4172,5531,7084,8831,10772,12907,15236,17759,20476,23387,26492,29791,33284,36971
101,314,739,1376,2225,3286,4559,6044,7741,9650,11771,14104,16649,19406,22375,25556,28949,32554,36371,40400
110,341,802,1493,2414,3565,4946,6557,8398,10469,12770,15301,18062,21053,24274,27725,31406,35317,39458,43829
119,368,865,1610,2603,3844,5333,7070,9055,11288,13769,16498,19475,22700,26173,29894,33863,38080,42545,47258
128,395,928,1727,2792,4123,5720,7583,9712,12107,14768,17695,20888,24347,28072,32063,36320,40843,45632,50687
137,422,991,1844,2981,4402,6107,8096,10369,12926,15767,18892,22301,25994,29971,34232,38777,43606,48719,54116
146,449,1054,1961,3170,4681,6494,8609,11026,13745,16766,20089,23714,27641,31870,36401,41234,46369,51806,57545
155,476,1117,2078,3359,4960,6881,9122,11683,14564,17765,21286,25127,29288,33769,38570,43691,49132,54893,60974
164,503,1180,2195,3548,5239,7268,9635,12340,15383,18764,22483,26540,30935,35668,40739,46148,51895,57980,64403
173,530,1243,2312,3737,5518,7655,10148,12997,16202,19763,23680,27953,32582,37567,42908,48605,54658,61067,67832
182,557,1306,2429,3926,5797,8042,10661,13654,17021,20762,24877,29366,34229,39466,45077,51062,57421,64154,71261
191,584,1369,2546,4115,6076,8429,11174,14311,17840,21761,26074,30779,35876,41365,47246,53519,60184,67241,74690
200,611,1432,2663,4304,6355,8816,11687,14968,18659,22760,27271,32192,37523,43264,49415,55976,62947,70328,78119
209,638,1495,2780,4493,6634,9203,12200,15625,19478,23759,28468,33605,39170,45163,51584,58433,65710,73415,81548
218,665,1558,2897,4682,6913,9590,12713,16282,20297,24758,29665,35018,40817,47062,53753,60890,68473,76502,84977
