*Read me: each dataset is created using the quadratic polynom: 2*x*x+4*x+1, where x is between 0 and 29. Nr of datasets: 40. Increment:3
1,7,17,31,49,71,97,127,161,199,241,287,337,391,449,511,577,647,721,799,881,967,1057,1151,1249,1351,1457,1567,1681,1799
4,16,38,70,112,164,226,298,380,472,574,686,808,940,1082,1234,1396,1568,1750,1942,2144,2356,2578,2810,3052,3304,3566,3838,4120,4412
7,25,59,109,175,257,355,469,599,745,907,1085,1279,1489,1715,1957,2215,2489,2779,3085,3407,3745,4099,4469,4855,5257,5675,6109,6559,7025
10,34,80,148,238,350,484,640,818,1018,1240,1484,1750,2038,2348,2680,3034,3410,3808,4228,4670,5134,5620,6128,6658,7210,7784,8380,8998,9638
13,43,101,187,301,443,613,811,1037,1291,1573,1883,2221,2587,2981,3403,3853,4331,4837,5371,5933,6523,7141,7787,8461,9163,9893,10651,11437,12251
16,52,122,226,364,536,742,982,1256,1564,1906,2282,2692,3136,3614,4126,4672,5252,5866,6514,7196,7912,8662,9446,10264,11116,12002,12922,13876,14864
19,61,143,265,427,629,871,1153,1475,1837,2239,2681,3163,3685,4247,4849,5491,6173,6895,7657,8459,9301,10183,11105,12067,13069,14111,15193,16315,17477
22,70,164,304,490,722,1000,1324,1694,2110,2572,3080,3634,4234,4880,5572,6310,7094,7924,8800,9722,10690,11704,12764,13870,15022,16220,17464,18754,20090
25,79,185,343,553,815,1129,1495,1913,2383,2905,3479,4105,4783,5513,6295,7129,8015,8953,9943,10985,12079,13225,14423,15673,16975,18329,19735,21193,22703
28,88,206,382,616,908,1258,1666,2132,2656,3238,3878,4576,5332,6146,7018,7948,8936,9982,11086,12248,13468,14746,16082,17476,18928,20438,22006,23632,25316
31,97,227,421,679,1001,1387,1837,2351,2929,3571,4277,5047,5881,6779,7741,8767,9857,11011,12229,13511,14857,16267,17741,19279,20881,22547,24277,26071,27929
34,106,248,460,742,1094,1516,2008,2570,3202,3904,4676,5518,6430,7412,8464,9586,10778,12040,13372,14774,16246,17788,19400,21082,22834,24656,26548,28510,30542
37,115,269,499,805,1187,1645,2179,2789,3475,4237,5075,5989,6979,8045,9187,10405,11699,13069,14515,16037,17635,19309,21059,22885,24787,26765,28819,30949,33155
40,124,290,538,868,1280,1774,2350,3008,3748,4570,5474,6460,7528,8678,9910,11224,12620,14098,15658,17300,19024,20830,22718,24688,26740,28874,31090,33388,35768
43,133,311,577,931,1373,1903,2521,3227,4021,4903,5873,6931,8077,9311,10633,12043,13541,15127,16801,18563,20413,22351,24377,26491,28693,30983,33361,35827,38381
46,142,332,616,994,1466,2032,2692,3446,4294,5236,6272,7402,8626,9944,11356,12862,14462,16156,17944,19826,21802,23872,26036,28294,30646,33092,35632,38266,40994
49,151,353,655,1057,1559,2161,2863,3665,4567,5569,6671,7873,9175,10577,12079,13681,15383,17185,19087,21089,23191,25393,27695,30097,32599,35201,37903,40705,43607
52,160,374,694,1120,1652,2290,3034,3884,4840,5902,7070,8344,9724,11210,12802,14500,16304,18214,20230,22352,24580,26914,29354,31900,34552,37310,40174,43144,46220
55,169,395,733,1183,1745,2419,3205,4103,5113,6235,7469,8815,10273,11843,13525,15319,17225,19243,21373,23615,25969,28435,31013,33703,36505,39419,42445,45583,48833
58,178,416,772,1246,1838,2548,3376,4322,5386,6568,7868,9286,10822,12476,14248,16138,18146,20272,22516,24878,27358,29956,32672,35506,38458,41528,44716,48022,51446
61,187,437,811,1309,1931,2677,3547,4541,5659,6901,8267,9757,11371,13109,14971,16957,19067,21301,23659,26141,28747,31477,34331,37309,40411,43637,46987,50461,54059
64,196,458,850,1372,2024,2806,3718,4760,5932,7234,8666,10228,11920,13742,15694,17776,19988,22330,24802,27404,30136,32998,35990,39112,42364,45746,49258,52900,56672
67,205,479,889,1435,2117,2935,3889,4979,6205,7567,9065,10699,12469,14375,16417,18595,20909,23359,25945,28667,31525,34519,37649,40915,44317,47855,51529,55339,59285
70,214,500,928,1498,2210,3064,4060,5198,6478,7900,9464,11170,13018,15008,17140,19414,21830,24388,27088,29930,32914,36040,39308,42718,46270,49964,53800,57778,61898
73,223,521,967,1561,2303,3193,4231,5417,6751,8233,9863,11641,13567,15641,17863,20233,22751,25417,28231,31193,34303,37561,40967,44521,48223,52073,56071,60217,64511
76,232,542,1006,1624,2396,3322,4402,5636,7024,8566,10262,12112,14116,16274,18586,21052,23672,26446,29374,32456,35692,39082,42626,46324,50176,54182,58342,62656,67124
79,241,563,1045,1687,2489,3451,4573,5855,7297,8899,10661,12583,14665,16907,19309,21871,24593,27475,30517,33719,37081,40603,44285,48127,52129,56291,60613,65095,69737
82,250,584,1084,1750,2582,3580,4744,6074,7570,9232,11060,13054,15214,17540,20032,22690,25514,28504,31660,34982,38470,42124,45944,49930,54082,58400,62884,67534,72350
85,259,605,1123,1813,2675,3709,4915,6293,7843,9565,11459,13525,15763,18173,20755,23509,26435,29533,32803,36245,39859,43645,47603,51733,56035,60509,65155,69973,74963
88,268,626,1162,1876,2768,3838,5086,6512,8116,9898,11858,13996,16312,18806,21478,24328,27356,30562,33946,37508,41248,45166,49262,53536,57988,62618,67426,72412,77576
91,277,647,1201,1939,2861,3967,5257,6731,8389,10231,12257,14467,16861,19439,22201,25147,28277,31591,35089,38771,42637,46687,50921,55339,59941,64727,69697,74851,80189
94,286,668,1240,2002,2954,4096,5428,6950,8662,10564,12656,14938,17410,20072,22924,25966,29198,32620,36232,40034,44026,48208,52580,57142,61894,66836,71968,77290,82802
97,295,689,1279,2065,3047,4225,5599,7169,8935,10897,13055,15409,17959,20705,23647,26785,30119,33649,37375,41297,45415,49729,54239,58945,63847,68945,74239,79729,85415
100,304,710,1318,2128,3140,4354,5770,7388,9208,11230,13454,15880,18508,21338,24370,27604,31040,34678,38518,42560,46804,51250,55898,60748,65800,71054,76510,82168,88028
103,313,731,1357,2191,3233,4483,5941,7607,9481,11563,13853,16351,19057,21971,25093,28423,31961,35707,39661,43823,48193,52771,57557,62551,67753,73163,78781,84607,90641
106,322,752,1396,2254,3326,4612,6112,7826,9754,11896,14252,16822,19606,22604,25816,29242,32882,36736,40804,45086,49582,54292,59216,64354,69706,75272,81052,87046,93254
109,331,773,1435,2317,3419,4741,6283,8045,10027,12229,14651,17293,20155,23237,26539,30061,33803,37765,41947,46349,50971,55813,60875,66157,71659,77381,83323,89485,95867
112,340,794,1474,2380,3512,4870,6454,8264,10300,12562,15050,17764,20704,23870,27262,30880,34724,38794,43090,47612,52360,57334,62534,67960,73612,79490,85594,91924,98480
115,349,815,1513,2443,3605,4999,6625,8483,10573,12895,15449,18235,21253,24503,27985,31699,35645,39823,44233,48875,53749,58855,64193,69763,75565,81599,87865,94363,101093
118,358,836,1552,2506,3698,5128,6796,8702,10846,13228,15848,18706,21802,25136,28708,32518,36566,40852,45376,50138,55138,60376,65852,71566,77518,83708,90136,96802,103706
