*Read me: each dataset is created using the quadratic polynom: 24*x*x+-7*x+12, where x is between 0 and 19. Nr of datasets: 30. Increment:-1
12,29,94,207,368,577,834,1139,1492,1893,2342,2839,3384,3977,4618,5307,6044,6829,7662,8543
11,26,87,194,347,546,791,1082,1419,1802,2231,2706,3227,3794,4407,5066,5771,6522,7319,8162
10,23,80,181,326,515,748,1025,1346,1711,2120,2573,3070,3611,4196,4825,5498,6215,6976,7781
9,20,73,168,305,484,705,968,1273,1620,2009,2440,2913,3428,3985,4584,5225,5908,6633,7400
8,17,66,155,284,453,662,911,1200,1529,1898,2307,2756,3245,3774,4343,4952,5601,6290,7019
7,14,59,142,263,422,619,854,1127,1438,1787,2174,2599,3062,3563,4102,4679,5294,5947,6638
6,11,52,129,242,391,576,797,1054,1347,1676,2041,2442,2879,3352,3861,4406,4987,5604,6257
5,8,45,116,221,360,533,740,981,1256,1565,1908,2285,2696,3141,3620,4133,4680,5261,5876
4,5,38,103,200,329,490,683,908,1165,1454,1775,2128,2513,2930,3379,3860,4373,4918,5495
3,2,31,90,179,298,447,626,835,1074,1343,1642,1971,2330,2719,3138,3587,4066,4575,5114
2,-1,24,77,158,267,404,569,762,983,1232,1509,1814,2147,2508,2897,3314,3759,4232,4733
1,-4,17,64,137,236,361,512,689,892,1121,1376,1657,1964,2297,2656,3041,3452,3889,4352
0,-7,10,51,116,205,318,455,616,801,1010,1243,1500,1781,2086,2415,2768,3145,3546,3971
-1,-10,3,38,95,174,275,398,543,710,899,1110,1343,1598,1875,2174,2495,2838,3203,3590
-2,-13,-4,25,74,143,232,341,470,619,788,977,1186,1415,1664,1933,2222,2531,2860,3209
-3,-16,-11,12,53,112,189,284,397,528,677,844,1029,1232,1453,1692,1949,2224,2517,2828
-4,-19,-18,-1,32,81,146,227,324,437,566,711,872,1049,1242,1451,1676,1917,2174,2447
-5,-22,-25,-14,11,50,103,170,251,346,455,578,715,866,1031,1210,1403,1610,1831,2066
-6,-25,-32,-27,-10,19,60,113,178,255,344,445,558,683,820,969,1130,1303,1488,1685
-7,-28,-39,-40,-31,-12,17,56,105,164,233,312,401,500,609,728,857,996,1145,1304
-8,-31,-46,-53,-52,-43,-26,-1,32,73,122,179,244,317,398,487,584,689,802,923
-9,-34,-53,-66,-73,-74,-69,-58,-41,-18,11,46,87,134,187,246,311,382,459,542
-10,-37,-60,-79,-94,-105,-112,-115,-114,-109,-100,-87,-70,-49,-24,5,38,75,116,161
-11,-40,-67,-92,-115,-136,-155,-172,-187,-200,-211,-220,-227,-232,-235,-236,-235,-232,-227,-220
-12,-43,-74,-105,-136,-167,-198,-229,-260,-291,-322,-353,-384,-415,-446,-477,-508,-539,-570,-601
-13,-46,-81,-118,-157,-198,-241,-286,-333,-382,-433,-486,-541,-598,-657,-718,-781,-846,-913,-982
-14,-49,-88,-131,-178,-229,-284,-343,-406,-473,-544,-619,-698,-781,-868,-959,-1054,-1153,-1256,-1363
-15,-52,-95,-144,-199,-260,-327,-400,-479,-564,-655,-752,-855,-964,-1079,-1200,-1327,-1460,-1599,-1744
-16,-55,-102,-157,-220,-291,-370,-457,-552,-655,-766,-885,-1012,-1147,-1290,-1441,-1600,-1767,-1942,-2125
-17,-58,-109,-170,-241,-322,-413,-514,-625,-746,-877,-1018,-1169,-1330,-1501,-1682,-1873,-2074,-2285,-2506
